Counter,coll.date,count.date,block,row.no,plant.no,total.berries,berry.no,mass,brix,big.seeds,med.seeds,lil.seeds,notes,total.seeds,big.med.seeds,percent.big.seeds,percent.big.med.seeds,percent.unfertilized
Elizabeth,7/16/2018,12/3/2018,A,4,74,1,1,1.0632,13,5,69,7,,81,74,0.061728395,0.913580247,0.086419753
Elizabeth,7/16/2018,12/3/2018,A,4,163,13,1,1.2456,12,45,25,7,,77,70,0.584415584,0.909090909,0.090909091
Elizabeth,7/16/2018,12/3/2018,A,4,163,13,2,1.0815,11,34,38,18,,90,72,0.377777778,0.8,0.2
Elizabeth,7/16/2018,12/3/2018,A,4,163,13,3,1.6386,12,33,20,10,,63,53,0.523809524,0.841269841,0.158730159
Elizabeth,7/16/2018,12/3/2018,A,4,163,13,4,1.094,14,29,24,10,,63,53,0.46031746,0.841269841,0.158730159
Elizabeth,7/16/2018,12/3/2018,A,4,163,13,5,1.0749,10,49,22,15,,86,71,0.569767442,0.825581395,0.174418605
Elizabeth,7/18/2018,12/3/2018,A,5,169,5,1,1.5986,9,45,23,7,,75,68,0.6,0.906666667,0.093333333
Elizabeth,7/18/2018,12/3/2018,A,5,169,5,2,1.6848,10,34,33,2,,69,67,0.492753623,0.971014493,0.028985507
Elizabeth,7/18/2018,12/3/2018,A,5,169,5,3,1.6574,9,38,30,4,,72,68,0.527777778,0.944444444,0.055555556
Elizabeth,7/18/2018,12/3/2018,A,5,169,5,4,1.5297,8,23,42,6,,71,65,0.323943662,0.915492958,0.084507042
Elizabeth,7/18/2018,12/3/2018,A,5,169,5,5,1.5099,9,37,24,14,,75,61,0.493333333,0.813333333,0.186666667
Elizabeth,7/16/2018,12/3/2018,A,3,68,6,1,1.5325,11,36,28,7,,71,64,0.507042254,0.901408451,0.098591549
Elizabeth,7/16/2018,12/3/2018,A,3,68,6,2,1.4887,11,35,30,8,,73,65,0.479452055,0.890410959,0.109589041
Elizabeth,7/16/2018,12/3/2018,A,3,68,6,3,1.2503,9,37,31,6,,74,68,0.5,0.918918919,0.081081081
Elizabeth,7/16/2018,12/3/2018,A,3,68,6,4,1.4056,10,23,34,7,,64,57,0.359375,0.890625,0.109375
Elizabeth,7/16/2018,12/3/2018,A,3,68,6,5,1.2984,11,35,39,1,,75,74,0.466666667,0.986666667,0.013333333
Elizabeth,7/19/2018,12/3/2018,A,3,92,7,1,1.3804,9,32,39,7,,78,71,0.41025641,0.91025641,0.08974359
Elizabeth,7/19/2018,12/3/2018,A,3,92,7,2,1.9928,10,26,51,3,,80,77,0.325,0.9625,0.0375
Elizabeth,7/19/2018,12/3/2018,A,3,92,7,3,1.6571,10,30,46,2,,78,76,0.384615385,0.974358974,0.025641026
Elizabeth,7/19/2018,12/3/2018,A,3,92,7,4,2.1893,12,25,47,5,,77,72,0.324675325,0.935064935,0.064935065
Elizabeth,7/19/2018,12/3/2018,A,3,92,7,5,1.5627,13,18,29,14,,61,47,0.295081967,0.770491803,0.229508197
Elizabeth,7/19/2018,12/3/2018,A,3,34,3,1,1.5366,10,31,23,16,,70,54,0.442857143,0.771428571,0.228571429
Elizabeth,7/19/2018,12/3/2018,A,3,34,3,2,1.6586,10,27,37,6,,70,64,0.385714286,0.914285714,0.085714286
Elizabeth,7/19/2018,12/3/2018,A,3,34,3,3,1.6658,10,40,23,7,,70,63,0.571428571,0.9,0.1
Elizabeth,7/16/2018,12/3/2018,A,1,105,2,1,1.7749,12,34,29,11,,74,63,0.459459459,0.851351351,0.148648649
Elizabeth,7/16/2018,12/3/2018,A,1,105,2,2,1.738,12,35,28,8,,71,63,0.492957746,0.887323944,0.112676056
Erin,7/19/2018,3/19/2018,A,2,84,3,1,1.8774,9,31,69,18,,118,100,0.262711864,0.847457627,0.152542373
Erin,7/19/2018,3/19/2018,A,2,84,3,2,1.3212,9,10,66,18,,94,76,0.106382979,0.808510638,0.191489362
Erin,7/19/2018,3/19/2018,A,2,84,3,3,1.9519,14,14,55,21,,90,69,0.155555556,0.766666667,0.233333333
Erin,7/19/2018,3/19/2018,A,2,33,1,1,2.1612,10,39,45,16,,100,84,0.39,0.84,0.16
Erin/Laney,7/18/2018,3/8/2019,A,6,156,8,1,1.682,13,16,32,8,,56,48,0.285714286,0.857142857,0.142857143
Erin/Laney,7/18/2018,3/8/2019,A,6,156,8,2,1.7309,16,28,34,5,,67,62,0.417910448,0.925373134,0.074626866
Erin/Laney,7/18/2018,3/8/2019,A,6,156,8,3,2.0192,16,26,30,14,,70,56,0.371428571,0.8,0.2
Erin/Laney,7/18/2018,3/8/2019,A,6,156,8,4,1.9395,13,42,39,9,,90,81,0.466666667,0.9,0.1
Erin/Laney,7/18/2018,3/8/2019,A,6,156,8,5,1.787,12,21,40,4,,65,61,0.323076923,0.938461538,0.061538462
Erin/Laney,7/16/2018,3/8/2019,A,1,46,3,1,1.4682,7,34,34,1,not a very bright color inside,69,68,0.492753623,0.985507246,0.014492754
Erin/Laney,7/16/2018,3/8/2019,A,1,46,3,2,2.1939,19,21,38,11,,70,59,0.3,0.842857143,0.157142857
Erin/Laney,7/16/2018,3/8/2019,A,1,46,3,3,2.2801,14,44,21,7,,72,65,0.611111111,0.902777778,0.097222222
Erin/Laney,7/16/2018,3/18/2019,A,1,81,6,1,2.1757,15,34,43,14,,91,77,0.373626374,0.846153846,0.153846154
Erin/Laney,7/16/2018,3/18/2019,A,1,81,6,2,1.8479,15,42,28,12,,82,70,0.512195122,0.853658537,0.146341463
Erin/Laney,7/16/2018,3/18/2019,A,1,81,6,3,2.3842,16,37,25,15,,77,62,0.480519481,0.805194805,0.194805195
Erin/Laney,7/16/2018,3/18/2019,A,1,81,6,4,2.4549,17,49,45,21,,115,94,0.426086957,0.817391304,0.182608696
Erin/Laney,7/16/2018,3/18/2019,A,1,81,6,5,1.4885,9,53,25,7,,85,78,0.623529412,0.917647059,0.082352941
Erin/Laney,7/16/2018,3/18/2019,A,4,31,17,1,1.8453,17,46,13,14,,73,59,0.630136986,0.808219178,0.191780822
Erin/Laney,7/16/2018,3/18/2019,A,4,31,17,2,1.7211,17,49,18,20,,87,67,0.563218391,0.770114943,0.229885057
Erin/Laney,7/16/2018,3/18/2019,A,4,31,17,3,1.5829,16,50,6,16,,72,56,0.694444444,0.777777778,0.222222222
Erin/Laney,7/16/2018,3/18/2019,A,4,31,17,4,1.4484,16,45,22,10,,77,67,0.584415584,0.87012987,0.12987013
Erin/Laney,7/16/2018,3/18/2019,A,4,31,17,5,2.0161,13,56,29,10,,95,85,0.589473684,0.894736842,0.105263158
Erin/Laney,7/16/2018,3/18/2019,A,1,100,5,1,1.7624,12,66,34,23,,123,100,0.536585366,0.81300813,0.18699187
Erin/Laney,7/16/2018,3/18/2019,A,1,100,5,2,1.7043,13,60,26,22,,108,86,0.555555556,0.796296296,0.203703704
Erin/Laney,7/16/2018,3/18/2019,A,1,100,5,3,1.0581,11,29,44,14,,87,73,0.333333333,0.83908046,0.16091954
Erin/Laney,7/16/2018,3/18/2019,A,1,100,5,4,2.2823,15,53,16,13,,82,69,0.646341463,0.841463415,0.158536585
Erin/Laney,7/16/2018,3/18/2019,A,1,100,5,5,1.5639,13,31,34,21,,86,65,0.360465116,0.755813953,0.244186047
Erin/Laney,7/16/2018,3/18/2019,A,1,50,7,1,1.4756,14,22,26,20,,68,48,0.323529412,0.705882353,0.294117647
Erin/Laney,7/16/2018,3/18/2019,A,1,50,7,2,1.5973,13,36,18,7,,61,54,0.590163934,0.885245902,0.114754098
Erin/Laney,7/16/2018,3/18/2019,A,1,50,7,3,1.3126,10,25,35,7,,67,60,0.373134328,0.895522388,0.104477612
Erin/Laney,7/16/2018,3/18/2019,A,1,50,7,4,1.4723,13,34,21,16,,71,55,0.478873239,0.774647887,0.225352113
Erin/Laney,7/16/2018,3/18/2019,A,1,50,7,5,1.1079,12,11,21,13,,45,32,0.244444444,0.711111111,0.288888889
Erin/Laney,7/16/2018,3/18/2019,A,3,34,8,1,1.4703,11,43,15,15,,73,58,0.589041096,0.794520548,0.205479452
Erin/Laney,7/16/2018,3/18/2019,A,3,34,8,2,1.5656,14,39,26,9,,74,65,0.527027027,0.878378378,0.121621622
Erin/Laney,7/16/2018,3/18/2019,A,3,34,8,3,1.309,10,45,21,19,,85,66,0.529411765,0.776470588,0.223529412
